image_name,train_type,mask_name
/mnt/DATA-1/SAM_GROUP/Datasets/Others/ISIC2018_Task1-2_Training_InputISIC_0000000.jpg,train,/mnt/DATA-1/SAM_GROUP/Datasets/Others/TestDataset/ISIC2018_Task1_Training_GroundTruthISIC_0000000.jpg
/mnt/DATA-1/SAM_GROUP/Datasets/Others/ISIC2018_Task1-2_Training_InputISIC_0000001.jpg,train,/mnt/DATA-1/SAM_GROUP/Datasets/Others/TestDataset/ISIC2018_Task1_Training_GroundTruthISIC_0000001.jpg
/mnt/DATA-1/SAM_GROUP/Datasets/Others/ISIC2018_Task1-2_Training_InputISIC_0000003.jpg,train,/mnt/DATA-1/SAM_GROUP/Datasets/Others/TestDataset/ISIC2018_Task1_Training_GroundTruthISIC_0000003.jpg
/mnt/DATA-1/SAM_GROUP/Datasets/Others/ISIC2018_Task1-2_Training_InputISIC_0000004.jpg,train,/mnt/DATA-1/SAM_GROUP/Datasets/Others/TestDataset/ISIC2018_Task1_Training_GroundTruthISIC_0000004.jpg
/mnt/DATA-1/SAM_GROUP/Datasets/Others/ISIC2018_Task1-2_Training_InputISIC_0000006.jpg,train,/mnt/DATA-1/SAM_GROUP/Datasets/Others/TestDataset/ISIC2018_Task1_Training_GroundTruthISIC_0000006.jpg
/mnt/DATA-1/SAM_GROUP/Datasets/Others/ISIC2018_Task1-2_Training_InputISIC_0000007.jpg,train,/mnt/DATA-1/SAM_GROUP/Datasets/Others/TestDataset/ISIC2018_Task1_Training_GroundTruthISIC_0000007.jpg
/mnt/DATA-1/SAM_GROUP/Datasets/Others/ISIC2018_Task1-2_Training_InputISIC_0000008.jpg,train,/mnt/DATA-1/SAM_GROUP/Datasets/Others/TestDataset/ISIC2018_Task1_Training_GroundTruthISIC_0000008.jpg
/mnt/DATA-1/SAM_GROUP/Datasets/Others/ISIC2018_Task1-2_Training_InputISIC_0000009.jpg,train,/mnt/DATA-1/SAM_GROUP/Datasets/Others/TestDataset/ISIC2018_Task1_Training_GroundTruthISIC_0000009.jpg
/mnt/DATA-1/SAM_GROUP/Datasets/Others/ISIC2018_Task1-2_Training_InputISIC_0000011.jpg,train,/mnt/DATA-1/SAM_GROUP/Datasets/Others/TestDataset/ISIC2018_Task1_Training_GroundTruthISIC_0000011.jpg
/mnt/DATA-1/SAM_GROUP/Datasets/Others/ISIC2018_Task1-2_Training_InputISIC_0000012.jpg,train,/mnt/DATA-1/SAM_GROUP/Datasets/Others/TestDataset/ISIC2018_Task1_Training_GroundTruthISIC_0000012.jpg
/mnt/DATA-1/SAM_GROUP/Datasets/Others/ISIC2018_Task1-2_Training_InputISIC_0000013.jpg,train,/mnt/DATA-1/SAM_GROUP/Datasets/Others/TestDataset/ISIC2018_Task1_Training_GroundTruthISIC_0000013.jpg
/mnt/DATA-1/SAM_GROUP/Datasets/Others/ISIC2018_Task1-2_Training_InputISIC_0000014.jpg,train,/mnt/DATA-1/SAM_GROUP/Datasets/Others/TestDataset/ISIC2018_Task1_Training_GroundTruthISIC_0000014.jpg
/mnt/DATA-1/SAM_GROUP/Datasets/Others/ISIC2018_Task1-2_Training_InputISIC_0000015.jpg,train,/mnt/DATA-1/SAM_GROUP/Datasets/Others/TestDataset/ISIC2018_Task1_Training_GroundTruthISIC_0000015.jpg
/mnt/DATA-1/SAM_GROUP/Datasets/Others/ISIC2018_Task1-2_Training_InputISIC_0000016.jpg,train,/mnt/DATA-1/SAM_GROUP/Datasets/Others/TestDataset/ISIC2018_Task1_Training_GroundTruthISIC_0000016.jpg
/mnt/DATA-1/SAM_GROUP/Datasets/Others/ISIC2018_Task1-2_Training_InputISIC_0000017.jpg,train,/mnt/DATA-1/SAM_GROUP/Datasets/Others/TestDataset/ISIC2018_Task1_Training_GroundTruthISIC_0000017.jpg
/mnt/DATA-1/SAM_GROUP/Datasets/Others/ISIC2018_Task1-2_Training_InputISIC_0000018.jpg,train,/mnt/DATA-1/SAM_GROUP/Datasets/Others/TestDataset/ISIC2018_Task1_Training_GroundTruthISIC_0000018.jpg
/mnt/DATA-1/SAM_GROUP/Datasets/Others/ISIC2018_Task1-2_Training_InputISIC_0000019.jpg,train,/mnt/DATA-1/SAM_GROUP/Datasets/Others/TestDataset/ISIC2018_Task1_Training_GroundTruthISIC_0000019.jpg
/mnt/DATA-1/SAM_GROUP/Datasets/Others/ISIC2018_Task1-2_Training_InputISIC_0000020.jpg,train,/mnt/DATA-1/SAM_GROUP/Datasets/Others/TestDataset/ISIC2018_Task1_Training_GroundTruthISIC_0000020.jpg
/mnt/DATA-1/SAM_GROUP/Datasets/Others/ISIC2018_Task1-2_Training_InputISIC_0000021.jpg,train,/mnt/DATA-1/SAM_GROUP/Datasets/Others/TestDataset/ISIC2018_Task1_Training_GroundTruthISIC_0000021.jpg
/mnt/DATA-1/SAM_GROUP/Datasets/Others/ISIC2018_Task1-2_Training_InputISIC_0000022.jpg,train,/mnt/DATA-1/SAM_GROUP/Datasets/Others/TestDataset/ISIC2018_Task1_Training_GroundTruthISIC_0000022.jpg
/mnt/DATA-1/SAM_GROUP/Datasets/Others/ISIC2018_Task1-2_Training_InputISIC_0000023.jpg,train,/mnt/DATA-1/SAM_GROUP/Datasets/Others/TestDataset/ISIC2018_Task1_Training_GroundTruthISIC_0000023.jpg
/mnt/DATA-1/SAM_GROUP/Datasets/Others/ISIC2018_Task1-2_Training_InputISIC_0000024.jpg,train,/mnt/DATA-1/SAM_GROUP/Datasets/Others/TestDataset/ISIC2018_Task1_Training_GroundTruthISIC_0000024.jpg
/mnt/DATA-1/SAM_GROUP/Datasets/Others/ISIC2018_Task1-2_Training_InputISIC_0000025.jpg,train,/mnt/DATA-1/SAM_GROUP/Datasets/Others/TestDataset/ISIC2018_Task1_Training_GroundTruthISIC_0000025.jpg
/mnt/DATA-1/SAM_GROUP/Datasets/Others/ISIC2018_Task1-2_Training_InputISIC_0000026.jpg,train,/mnt/DATA-1/SAM_GROUP/Datasets/Others/TestDataset/ISIC2018_Task1_Training_GroundTruthISIC_0000026.jpg
/mnt/DATA-1/SAM_GROUP/Datasets/Others/ISIC2018_Task1-2_Training_InputISIC_0000027.jpg,train,/mnt/DATA-1/SAM_GROUP/Datasets/Others/TestDataset/ISIC2018_Task1_Training_GroundTruthISIC_0000027.jpg
/mnt/DATA-1/SAM_GROUP/Datasets/Others/ISIC2018_Task1-2_Training_InputISIC_0000028.jpg,train,/mnt/DATA-1/SAM_GROUP/Datasets/Others/TestDataset/ISIC2018_Task1_Training_GroundTruthISIC_0000028.jpg
/mnt/DATA-1/SAM_GROUP/Datasets/Others/ISIC2018_Task1-2_Training_InputISIC_0000029.jpg,train,/mnt/DATA-1/SAM_GROUP/Datasets/Others/TestDataset/ISIC2018_Task1_Training_GroundTruthISIC_0000029.jpg
/mnt/DATA-1/SAM_GROUP/Datasets/Others/ISIC2018_Task1-2_Training_InputISIC_0000030.jpg,train,/mnt/DATA-1/SAM_GROUP/Datasets/Others/TestDataset/ISIC2018_Task1_Training_GroundTruthISIC_0000030.jpg
/mnt/DATA-1/SAM_GROUP/Datasets/Others/ISIC2018_Task1-2_Training_InputISIC_0000031.jpg,train,/mnt/DATA-1/SAM_GROUP/Datasets/Others/TestDataset/ISIC2018_Task1_Training_GroundTruthISIC_0000031.jpg
/mnt/DATA-1/SAM_GROUP/Datasets/Others/ISIC2018_Task1-2_Training_InputISIC_0000032.jpg,train,/mnt/DATA-1/SAM_GROUP/Datasets/Others/TestDataset/ISIC2018_Task1_Training_GroundTruthISIC_0000032.jpg
/mnt/DATA-1/SAM_GROUP/Datasets/Others/ISIC2018_Task1-2_Training_InputISIC_0000034.jpg,train,/mnt/DATA-1/SAM_GROUP/Datasets/Others/TestDataset/ISIC2018_Task1_Training_GroundTruthISIC_0000034.jpg
/mnt/DATA-1/SAM_GROUP/Datasets/Others/ISIC2018_Task1-2_Training_InputISIC_0000035.jpg,train,/mnt/DATA-1/SAM_GROUP/Datasets/Others/TestDataset/ISIC2018_Task1_Training_GroundTruthISIC_0000035.jpg
/mnt/DATA-1/SAM_GROUP/Datasets/Others/ISIC2018_Task1-2_Training_InputISIC_0000036.jpg,train,/mnt/DATA-1/SAM_GROUP/Datasets/Others/TestDataset/ISIC2018_Task1_Training_GroundTruthISIC_0000036.jpg
/mnt/DATA-1/SAM_GROUP/Datasets/Others/ISIC2018_Task1-2_Training_InputISIC_0000037.jpg,train,/mnt/DATA-1/SAM_GROUP/Datasets/Others/TestDataset/ISIC2018_Task1_Training_GroundTruthISIC_0000037.jpg
/mnt/DATA-1/SAM_GROUP/Datasets/Others/ISIC2018_Task1-2_Training_InputISIC_0000038.jpg,train,/mnt/DATA-1/SAM_GROUP/Datasets/Others/TestDataset/ISIC2018_Task1_Training_GroundTruthISIC_0000038.jpg
/mnt/DATA-1/SAM_GROUP/Datasets/Others/ISIC2018_Task1-2_Training_InputISIC_0000039.jpg,train,/mnt/DATA-1/SAM_GROUP/Datasets/Others/TestDataset/ISIC2018_Task1_Training_GroundTruthISIC_0000039.jpg
